,logFC,logCPM,LR,PValue,FDR,gene
26439,0.323445072770344,3.36888517224935,7.98039146627937,0.00472867156016121,0.0190577128508836,MRPL20-AS1
3604,0.846315390237305,1.41503461890824,7.9801822539328,0.00472921806102365,0.0190577128508836,MPP2
8890,0.280192572730887,4.89953954595191,7.97759520650177,0.00473598122034498,0.0190802707974184,SLC12A9
56467,0.330265815605772,3.50916543184411,7.97485507442657,0.00474315532358003,0.0191044728445205,TADA2A
7952,0.383627878779015,5.10387544377735,7.97168857238741,0.00475145952039723,0.0191271632883795,COMMD4
12747,0.500129491866689,2.8072195895719,7.97139833290947,0.00475222141811868,0.0191271632883795,SIMC1
11166,-0.623886975428043,5.72702229596378,7.97137090463215,0.0047522934255865,0.0191271632883795,ZC3H12A
38324,0.803445985243986,1.09728705031947,7.97024270044795,0.00475525626376779,0.0191343845678717,OR2A1-AS1
9544,0.354642452136934,3.03976138993166,7.9688002534634,0.00475904709294888,0.0191447708743209,SUV39H2
3104,0.881377114677361,0.83455391541207,7.96837090612813,0.00476017603550725,0.0191447708743209,ATP1A3
1181,0.343652628619911,5.00266537892362,7.96670795671056,0.00476455123445555,0.0191576614346122,PTPN18
15243,-0.573181096434699,8.11363655919637,7.96168833093884,0.00477778266717109,0.0192028455336929,C1S
23431,1.65622227548247,-0.281140539833811,7.96155512916586,0.00477813428841781,0.0192028455336929,HMX1
7033,0.320405869029436,2.88073231158483,7.95999512582323,0.00478225429183364,0.0192142068928868,TMEM60
3742,-0.273568963518878,6.01884395826196,7.95959624320588,0.00478330833050794,0.0192142068928868,PPP6R3
22344,0.343880435458118,2.92406200635746,7.95772837535353,0.00478824728054606,0.0192293286054404,FGFR1OP
11750,-0.522320838305386,6.450159111288,7.95030342450731,0.00480793149727697,0.0193036445328386,AMOTL1
3617,0.449056305550611,2.47939877873722,7.9493446769029,0.00481047922636758,0.0193091386058633,RANGRF
42683,-1.00964468187382,0.191777536410114,7.94782238834367,0.00481452730749859,0.0193206508837437,
6410,0.444789930684819,1.5718438482705,7.94252486813481,0.00482864158410848,0.0193725431650596,ZNF141
4985,-0.460852018886621,3.23905311246058,7.93996896115262,0.00483546640002148,0.019385202792327,CUTC
35141,0.572596756942962,1.07944768895964,7.93976026213687,0.00483602410461875,0.019385202792327,FOXD2-AS1
7429,-0.446378302913544,5.89780287363188,7.93966268783018,0.00483628487408551,0.019385202792327,KIF13A
6873,-1.00847777398507,-0.0925062883032674,7.93934030530016,0.00483714655029756,0.019385202792327,NGF
59749,-0.822426783936084,2.42544445470498,7.93912695459223,0.00483771688813585,0.019385202792327,SH3PXD2A-AS1
19723,1.16794983212715,-0.0368652657492614,7.93863250375665,0.00483903893771322,0.0193857559400975,CCDC162P
5133,-0.363098685993708,5.71181667012519,7.9376312860292,0.00484171709455843,0.0193917402126236,TRIM25
17210,0.989339843858758,0.744316590273195,7.93095157279663,0.00485962334190908,0.0194548159559951,WNK3
587,-0.35099678262708,5.38715856183206,7.93087006467339,0.00485984225615463,0.0194548159559951,RETSAT
606,-0.834957079383225,1.90432438623103,7.92589964194633,0.00487321080538896,0.0195035640470871,EPHA3
11362,2.1901373651293,0.72924930626658,7.92489123042664,0.00487592761776784,0.0195096683493922,TLX3
7928,-0.294067887065351,3.71786438412761,7.921761780872,0.00488436865493404,0.0195386679665856,WDR20
14523,-1.13791206798887,-0.131959149880574,7.91935280698461,0.00489087649931438,0.0195599220623533,CA8
12633,-0.937878121944965,4.3682921632914,7.91737001739671,0.00489623963426454,0.0195765888966577,CLIC3
15634,-0.93347198130974,4.01791423067095,7.91637891126291,0.00489892266661626,0.0195795050950659,ARSI
44491,-0.458561186930466,4.13445615685943,7.91621716349758,0.00489936067760856,0.0195795050950659,CTSO
467,0.483877173270639,2.95427774617593,7.91564511492702,0.00490091009833869,0.0195809177745484,SH2D2A
1541,0.379869675120634,3.36726549772396,7.91235724274597,0.00490982514209008,0.0196117509274069,JMJD4
5690,-1.04687022618108,0.182413168943016,7.90984070761701,0.00491665987229666,0.0196342614851496,GRIA3
28677,0.610831326755444,0.907583936931398,7.90850990193621,0.00492027816357913,0.0196439196225996,
7117,0.502097769627312,4.80267728935704,7.90735027415805,0.00492343325590971,0.0196517242074621,MICAL1
4900,0.403915784396553,4.77896464424474,7.90587543170189,0.0049274489563331,0.0196629592400784,PHF19
661,-0.569208386050428,4.77533143605535,7.90393723764583,0.00493273134534133,0.0196792422800374,EPN3
12524,0.421588507754651,4.42546002953785,7.90118525023891,0.00494024157550574,0.0197031666344526,ASMTL
9779,-0.407497758664822,3.4182541842682,7.90085818060741,0.00494113492952191,0.0197031666344526,DIPK1A
8611,-0.550074641584751,4.26232889992088,7.8983317385584,0.00494804117136152,0.0197204131933589,PTPRG
12070,1.33328407034084,-2.16288320137719,7.89825540952344,0.00494824997619301,0.0197204131933589,RBFOX3
9366,-0.7099082128237,2.53685429495955,7.89795445882423,0.00494907334095839,0.0197204131933589,THRB
14108,-0.808147493256888,3.33595998135533,7.89563148895384,0.00495543340504217,0.0197382040243863,PLA2G16
796,0.32376879617196,5.1384502889097,7.89544322058529,0.0049559492300893,0.0197382040243863,FLYWCH1
6228,0.840312192718132,7.01230447238695,7.89376882599478,0.00496053920960558,0.0197516800775467,APOE
5341,-0.534747043188279,3.44666961400005,7.88965616309689,0.00497183155248583,0.019791830296341,RASSF8
4160,0.335274081290358,3.32290140718779,7.88656766849492,0.00498032900405321,0.0198165487092102,THG1L
20096,-0.29593113453146,6.91609956357656,7.88651951397646,0.0049804616098699,0.0198165487092102,DCTN1
1164,0.543530528501168,5.11053251722273,7.88473333645226,0.00498538285030845,0.0198313103518222,HLTF
2318,0.832700450631573,3.81539080510212,7.879697671221,0.00499928370694541,0.0198772909761165,GZMB
12847,0.969307567356611,-0.815740132504523,7.87966647266542,0.00499936995294985,0.0198772909761165,KRT74
10975,-0.578464767414349,4.4473127798112,7.87890279656756,0.0050014815495467,0.0198808588032843,ANTXR2
1953,0.363956805540155,3.82117389351756,7.87407449687724,0.00501485305538184,0.0199291721057687,HAUS4
44644,0.656835197911071,1.42526904304049,7.87207356529682,0.00502040511162396,0.0199463947810287,RPL41P5
1637,0.332507384715976,4.15352153511335,7.87077264363043,0.00502401818502448,0.0199559072642906,AGBL5
42650,-0.400422506817661,1.97210491951391,7.8697243096064,0.00502693167004283,0.0199626369715283,ALG11
12123,0.355472296246941,4.41573612652121,7.86739163028614,0.00503342073182873,0.019983037711753,TP53I13
2614,0.389613733443371,4.69589673424989,7.86700039862257,0.00503450989806273,0.019983037711753,NAA10
16686,0.402071263997324,4.20549858821532,7.86455848166297,0.00504131348293027,0.0200051928395582,PRKAR1B
21656,-1.20100281060724,-0.245806165042718,7.86046202226888,0.00505274794658773,0.0200457092632617,IGKV1D-42
11169,-0.844982556930344,0.803424653903007,7.85806429661511,0.00505945298643522,0.0200674476131066,DNALI1
12075,-0.620557888903369,5.34118326312333,7.85572657624004,0.00506599895638013,0.0200885446628268,MYO5B
6164,-0.286724115793519,6.25976328386456,7.85419947812106,0.00507027972150743,0.0201006513027218,REEP5
7909,-1.20090457488279,2.63012250865179,7.85189614196454,0.00507674341324739,0.0201214039954247,RDH12
9663,0.303214842222945,3.99726270843329,7.85086742747207,0.00507963293514496,0.0201279840385112,UBALD1
45355,-0.366685654020505,6.71731356118045,7.84945801941848,0.00508359449589643,0.0201388078106248,CUX1
30933,0.451826487517331,1.52522204534375,7.84734088170116,0.0050895512595043,0.0201575284885979,WARS2-AS1
9393,-0.297222864196062,4.86608589480917,7.84627188578376,0.00509256168091619,0.0201621200175687,FAM177A1
15968,0.376872520938161,5.68828366505338,7.845678843926,0.00509423254083965,0.0201621200175687,UBALD2
6869,0.577381460200122,1.76203651850912,7.84561769923451,0.00509440484411418,0.0201621200175687,TRIM45
15943,-0.479357114039239,3.18175816570278,7.84259676614019,0.0051029251114621,0.0201909600894077,NOMO2
2803,-0.431897261609228,6.70948067351995,7.83973442711745,0.00511101147752397,0.020218069804663,PIEZO1
9488,-0.679177569753962,1.83941430453242,7.83800134909333,0.00511591392548309,0.0202325745656847,KCNE4
15234,1.04733426684108,2.64716740971278,7.83531113289514,0.00512353337529014,0.0202578150093276,B4GALNT4
16663,1.05720614515687,-0.27457919114213,7.83231422113617,0.00513203509287897,0.0202865308005088,MESP2
3507,0.512917956936828,9.54356693400735,7.83041713424262,0.00513742422845246,0.0203029319074227,RPL19
16415,0.659424532323407,4.18329344025612,7.82674475653697,0.00514787290322707,0.0203388040396111,ESPN
17443,-0.655002341693935,0.708727267006466,7.82635409409103,0.00514898569255409,0.0203388040396111,DACT3
14726,-0.996595478784613,3.71763208291577,7.82342596403758,0.00515733418534735,0.0203668674907603,ALOX15B
13128,-0.611589422556515,1.54876252120334,7.8219965747862,0.00516141457624832,0.0203780662784938,GPR34
6550,0.874801414064421,1.58734357496517,7.81922591218813,0.00516933319164767,0.0204044099196835,FCRLA
44894,0.534116470713638,0.854779089397503,7.81379202705314,0.00518489933128466,0.0204609199207336,
4665,-0.769546489780911,0.200177260414555,7.80735541569784,0.00520339975161618,0.0205289793092077,ST6GALNAC5
3275,0.351336944617146,2.45380384024926,7.80584861401266,0.00520774038461838,0.0205411547379804,PTCD1
344,0.620266576465117,3.64986966318867,7.80444095431598,0.00521179875441268,0.0205522112249516,CD6
9993,0.355270264748432,3.73833706322975,7.80367623263081,0.00521400484541016,0.0205559598685048,MTERF3
43368,0.774837614317944,1.80042378232161,7.8026937221332,0.00521684061689575,0.0205621885942306,BBOX1-AS1
47869,0.524360767338587,0.535017360874495,7.79936520852958,0.00522645923060279,0.0205951424747676,
322,-0.320382859651883,5.26926331565395,7.79637312815262,0.00523512106003134,0.0206243111443439,CALCOCO1
16772,-0.269932181812063,6.44065792506489,7.79329768046044,0.00524403948145544,0.0206544764084363,NBR1
8449,-0.399314810286643,6.70172293497153,7.79169799375369,0.00524868449801035,0.0206677997320643,GALNT2
6424,1.06590896294728,5.65017644830624,7.78865558288283,0.00525753033499698,0.0206976542858633,IDO1
6715,-0.339994143798741,3.74425987379986,7.78792906089606,0.00525964495102438,0.0207010016305582,COG6
13630,0.483937467384431,4.82465047628752,7.78706058652996,0.00526217387150857,0.0207059776011078,XXYLT1
916,-0.35296637638222,6.06756030558289,7.78487941215454,0.00526853072517817,0.0207260099863869,OAT
17458,-0.332375405979156,2.82895121938339,7.78276267734695,0.00527470725949133,0.0207410295703943,IPP
3989,0.402382161119625,3.33611098533909,7.78270274279224,0.00527488225316813,0.0207410295703943,FBXO5
1886,-0.661285805459795,1.68407030124837,7.78202598151967,0.00527685863492986,0.0207438190707579,CHRD
